timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1722613053975,29,Login Request,200,OK,Thread Group - Login 1-1,text,true,,10232,373,1,2,http://127.0.0.1/shop/home.php,19,0,2
1722613053975,19,Login Request-0,302,Found,Thread Group - Login 1-1,text,true,,3730,249,1,2,http://127.0.0.1/shop/login.php,19,0,2
1722613053994,10,Login Request-1,200,OK,Thread Group - Login 1-1,text,true,,6502,124,1,2,http://127.0.0.1/shop/home.php,10,0,0
1722613054077,10,Login Request,200,OK,Thread Group - Login 1-2,text,true,,11062,373,1,1,http://127.0.0.1/shop/home.php,4,0,0
1722613054077,4,Login Request-0,302,Found,Thread Group - Login 1-2,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,4,0,0
1722613054081,6,Login Request-1,200,OK,Thread Group - Login 1-2,text,true,,7332,124,1,1,http://127.0.0.1/shop/home.php,6,0,0
1722613054177,10,Login Request,200,OK,Thread Group - Login 1-3,text,true,,11902,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613054177,5,Login Request-0,302,Found,Thread Group - Login 1-3,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613054182,5,Login Request-1,200,OK,Thread Group - Login 1-3,text,true,,8172,124,1,1,http://127.0.0.1/shop/home.php,5,0,0
1722613054277,10,Login Request,200,OK,Thread Group - Login 1-4,text,true,,12768,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613054277,5,Login Request-0,302,Found,Thread Group - Login 1-4,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613054283,4,Login Request-1,200,OK,Thread Group - Login 1-4,text,true,,9038,124,1,1,http://127.0.0.1/shop/home.php,4,0,0
1722613054377,10,Login Request,200,OK,Thread Group - Login 1-5,text,true,,13608,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613054377,5,Login Request-0,302,Found,Thread Group - Login 1-5,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613054382,5,Login Request-1,200,OK,Thread Group - Login 1-5,text,true,,9878,124,1,1,http://127.0.0.1/shop/home.php,5,0,0
1722613054477,13,Login Request,200,OK,Thread Group - Login 1-6,text,true,,14448,373,1,2,http://127.0.0.1/shop/home.php,6,0,1
1722613054477,6,Login Request-0,302,Found,Thread Group - Login 1-6,text,true,,3730,249,1,2,http://127.0.0.1/shop/login.php,6,0,1
1722613054483,7,Login Request-1,200,OK,Thread Group - Login 1-6,text,true,,10718,124,1,2,http://127.0.0.1/shop/home.php,6,0,0
1722613054576,14,Login Request,200,OK,Thread Group - Login 1-7,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,9,0,1
1722613054576,9,Login Request-0,302,Found,Thread Group - Login 1-7,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,9,0,1
1722613054585,5,Login Request-1,200,OK,Thread Group - Login 1-7,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,5,0,0
1722613054679,15,Login Request,200,OK,Thread Group - Login 1-8,text,true,,14448,373,1,2,http://127.0.0.1/shop/home.php,9,0,1
1722613054679,9,Login Request-0,302,Found,Thread Group - Login 1-8,text,true,,3730,249,1,2,http://127.0.0.1/shop/login.php,9,0,1
1722613054688,6,Login Request-1,200,OK,Thread Group - Login 1-8,text,true,,10718,124,1,2,http://127.0.0.1/shop/home.php,5,0,0
1722613054776,22,Login Request,200,OK,Thread Group - Login 1-9,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,15,0,1
1722613054776,15,Login Request-0,302,Found,Thread Group - Login 1-9,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,15,0,1
1722613054791,7,Login Request-1,200,OK,Thread Group - Login 1-9,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,6,0,0
1722613054877,12,Login Request,200,OK,Thread Group - Login 1-10,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,7,0,1
1722613054877,7,Login Request-0,302,Found,Thread Group - Login 1-10,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,7,0,1
1722613054884,5,Login Request-1,200,OK,Thread Group - Login 1-10,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,4,0,0
1722613054976,32,Login Request,200,OK,Thread Group - Login 1-11,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,6,0,1
1722613054976,6,Login Request-0,302,Found,Thread Group - Login 1-11,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,6,0,1
1722613054983,25,Login Request-1,200,OK,Thread Group - Login 1-11,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,24,0,0
1722613055077,11,Login Request,200,OK,Thread Group - Login 1-12,text,true,,14448,373,1,2,http://127.0.0.1/shop/home.php,7,0,1
1722613055077,7,Login Request-0,302,Found,Thread Group - Login 1-12,text,true,,3730,249,1,2,http://127.0.0.1/shop/login.php,7,0,1
1722613055084,4,Login Request-1,200,OK,Thread Group - Login 1-12,text,true,,10718,124,1,2,http://127.0.0.1/shop/home.php,4,0,0
1722613055174,12,Login Request,200,OK,Thread Group - Login 1-13,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,6,0,1
1722613055174,6,Login Request-0,302,Found,Thread Group - Login 1-13,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,6,0,1
1722613055180,6,Login Request-1,200,OK,Thread Group - Login 1-13,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,5,0,0
1722613055276,11,Login Request,200,OK,Thread Group - Login 1-14,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613055276,5,Login Request-0,302,Found,Thread Group - Login 1-14,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613055281,6,Login Request-1,200,OK,Thread Group - Login 1-14,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,5,0,0
1722613055374,11,Login Request,200,OK,Thread Group - Login 1-15,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613055374,5,Login Request-0,302,Found,Thread Group - Login 1-15,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613055379,6,Login Request-1,200,OK,Thread Group - Login 1-15,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,5,0,0
1722613055477,11,Login Request,200,OK,Thread Group - Login 1-16,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,6,0,1
1722613055477,6,Login Request-0,302,Found,Thread Group - Login 1-16,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,6,0,1
1722613055483,5,Login Request-1,200,OK,Thread Group - Login 1-16,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,4,0,0
1722613055574,11,Login Request,200,OK,Thread Group - Login 1-17,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613055574,5,Login Request-0,302,Found,Thread Group - Login 1-17,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613055579,6,Login Request-1,200,OK,Thread Group - Login 1-17,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,5,0,0
1722613055677,10,Login Request,200,OK,Thread Group - Login 1-18,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613055677,5,Login Request-0,302,Found,Thread Group - Login 1-18,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613055683,4,Login Request-1,200,OK,Thread Group - Login 1-18,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,4,0,0
1722613055774,10,Login Request,200,OK,Thread Group - Login 1-19,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613055774,5,Login Request-0,302,Found,Thread Group - Login 1-19,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613055780,4,Login Request-1,200,OK,Thread Group - Login 1-19,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,4,0,0
1722613055877,10,Login Request,200,OK,Thread Group - Login 1-20,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,6,0,1
1722613055877,6,Login Request-0,302,Found,Thread Group - Login 1-20,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,6,0,1
1722613055883,4,Login Request-1,200,OK,Thread Group - Login 1-20,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,4,0,0
1722613055976,10,Login Request,200,OK,Thread Group - Login 1-21,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613055976,5,Login Request-0,302,Found,Thread Group - Login 1-21,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613055981,5,Login Request-1,200,OK,Thread Group - Login 1-21,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,5,0,0
1722613056077,11,Login Request,200,OK,Thread Group - Login 1-22,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,6,0,1
1722613056077,6,Login Request-0,302,Found,Thread Group - Login 1-22,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,6,0,1
1722613056083,5,Login Request-1,200,OK,Thread Group - Login 1-22,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,4,0,0
1722613056174,9,Login Request,200,OK,Thread Group - Login 1-23,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613056174,5,Login Request-0,302,Found,Thread Group - Login 1-23,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613056179,4,Login Request-1,200,OK,Thread Group - Login 1-23,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,4,0,0
1722613056276,10,Login Request,200,OK,Thread Group - Login 1-24,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613056276,5,Login Request-0,302,Found,Thread Group - Login 1-24,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613056281,5,Login Request-1,200,OK,Thread Group - Login 1-24,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,4,0,0
1722613056377,10,Login Request,200,OK,Thread Group - Login 1-25,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613056377,5,Login Request-0,302,Found,Thread Group - Login 1-25,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613056382,5,Login Request-1,200,OK,Thread Group - Login 1-25,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,5,0,0
1722613056474,11,Login Request,200,OK,Thread Group - Login 1-26,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613056474,5,Login Request-0,302,Found,Thread Group - Login 1-26,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613056479,6,Login Request-1,200,OK,Thread Group - Login 1-26,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,5,0,0
1722613056575,10,Login Request,200,OK,Thread Group - Login 1-27,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613056575,5,Login Request-0,302,Found,Thread Group - Login 1-27,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613056580,5,Login Request-1,200,OK,Thread Group - Login 1-27,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,4,0,0
1722613056675,9,Login Request,200,OK,Thread Group - Login 1-28,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613056675,5,Login Request-0,302,Found,Thread Group - Login 1-28,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613056680,4,Login Request-1,200,OK,Thread Group - Login 1-28,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,4,0,0
1722613056775,10,Login Request,200,OK,Thread Group - Login 1-29,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613056775,5,Login Request-0,302,Found,Thread Group - Login 1-29,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613056780,5,Login Request-1,200,OK,Thread Group - Login 1-29,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,4,0,0
1722613056874,11,Login Request,200,OK,Thread Group - Login 1-30,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613056874,5,Login Request-0,302,Found,Thread Group - Login 1-30,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613056879,6,Login Request-1,200,OK,Thread Group - Login 1-30,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,5,0,0
1722613056974,11,Login Request,200,OK,Thread Group - Login 1-31,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613056974,5,Login Request-0,302,Found,Thread Group - Login 1-31,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613056979,6,Login Request-1,200,OK,Thread Group - Login 1-31,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,5,0,0
1722613057074,10,Login Request,200,OK,Thread Group - Login 1-32,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613057074,5,Login Request-0,302,Found,Thread Group - Login 1-32,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613057079,5,Login Request-1,200,OK,Thread Group - Login 1-32,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,5,0,0
1722613057174,10,Login Request,200,OK,Thread Group - Login 1-33,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613057174,5,Login Request-0,302,Found,Thread Group - Login 1-33,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613057179,5,Login Request-1,200,OK,Thread Group - Login 1-33,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,4,0,0
1722613057275,10,Login Request,200,OK,Thread Group - Login 1-34,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613057275,5,Login Request-0,302,Found,Thread Group - Login 1-34,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613057280,5,Login Request-1,200,OK,Thread Group - Login 1-34,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,5,0,0
1722613057378,10,Login Request,200,OK,Thread Group - Login 1-35,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613057378,5,Login Request-0,302,Found,Thread Group - Login 1-35,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613057383,5,Login Request-1,200,OK,Thread Group - Login 1-35,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,4,0,0
1722613057475,10,Login Request,200,OK,Thread Group - Login 1-36,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613057475,5,Login Request-0,302,Found,Thread Group - Login 1-36,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613057480,5,Login Request-1,200,OK,Thread Group - Login 1-36,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,5,0,0
1722613057575,11,Login Request,200,OK,Thread Group - Login 1-37,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,6,0,1
1722613057575,6,Login Request-0,302,Found,Thread Group - Login 1-37,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,6,0,1
1722613057581,5,Login Request-1,200,OK,Thread Group - Login 1-37,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,5,0,0
1722613057675,11,Login Request,200,OK,Thread Group - Login 1-38,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,6,0,1
1722613057675,6,Login Request-0,302,Found,Thread Group - Login 1-38,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,6,0,1
1722613057681,5,Login Request-1,200,OK,Thread Group - Login 1-38,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,4,0,0
1722613057775,9,Login Request,200,OK,Thread Group - Login 1-39,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,0
1722613057775,5,Login Request-0,302,Found,Thread Group - Login 1-39,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,0
1722613057780,4,Login Request-1,200,OK,Thread Group - Login 1-39,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,4,0,0
1722613057875,10,Login Request,200,OK,Thread Group - Login 1-40,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,6,0,1
1722613057875,6,Login Request-0,302,Found,Thread Group - Login 1-40,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,6,0,1
1722613057881,4,Login Request-1,200,OK,Thread Group - Login 1-40,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,4,0,0
1722613057974,11,Login Request,200,OK,Thread Group - Login 1-41,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613057974,5,Login Request-0,302,Found,Thread Group - Login 1-41,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613057979,6,Login Request-1,200,OK,Thread Group - Login 1-41,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,5,0,0
1722613058075,11,Login Request,200,OK,Thread Group - Login 1-42,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,6,0,1
1722613058075,6,Login Request-0,302,Found,Thread Group - Login 1-42,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,6,0,1
1722613058081,5,Login Request-1,200,OK,Thread Group - Login 1-42,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,4,0,0
1722613058176,12,Login Request,200,OK,Thread Group - Login 1-43,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,7,0,1
1722613058176,7,Login Request-0,302,Found,Thread Group - Login 1-43,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,7,0,1
1722613058183,5,Login Request-1,200,OK,Thread Group - Login 1-43,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,4,0,0
1722613058275,10,Login Request,200,OK,Thread Group - Login 1-44,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613058275,5,Login Request-0,302,Found,Thread Group - Login 1-44,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613058280,5,Login Request-1,200,OK,Thread Group - Login 1-44,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,5,0,0
1722613058375,10,Login Request,200,OK,Thread Group - Login 1-45,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613058375,5,Login Request-0,302,Found,Thread Group - Login 1-45,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613058380,5,Login Request-1,200,OK,Thread Group - Login 1-45,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,5,0,0
1722613058475,11,Login Request,200,OK,Thread Group - Login 1-46,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,6,0,1
1722613058475,6,Login Request-0,302,Found,Thread Group - Login 1-46,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,6,0,1
1722613058481,5,Login Request-1,200,OK,Thread Group - Login 1-46,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,4,0,0
1722613058575,13,Login Request,200,OK,Thread Group - Login 1-47,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,8,0,0
1722613058575,8,Login Request-0,302,Found,Thread Group - Login 1-47,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,8,0,0
1722613058583,5,Login Request-1,200,OK,Thread Group - Login 1-47,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,5,0,0
1722613058675,10,Login Request,200,OK,Thread Group - Login 1-48,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613058675,5,Login Request-0,302,Found,Thread Group - Login 1-48,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613058680,5,Login Request-1,200,OK,Thread Group - Login 1-48,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,4,0,0
1722613058775,10,Login Request,200,OK,Thread Group - Login 1-49,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613058775,5,Login Request-0,302,Found,Thread Group - Login 1-49,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613058780,5,Login Request-1,200,OK,Thread Group - Login 1-49,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,4,0,0
1722613058875,10,Login Request,200,OK,Thread Group - Login 1-50,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613058875,5,Login Request-0,302,Found,Thread Group - Login 1-50,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
